Grade Distribution by Institution, Course Group, Academic Organization, and Course for 4195
"Institution Code","Inst Description","Term Code","Term Description","Academic Group Code","Academic Group Description","Academic Organization Code","Academic Organization Description","Department Code","Course Subject","Catalog Number","GPA Grades","Total Grades","Percent Majors","Avg Class Grade","Avg Student GPA","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","P","S","I","R","NY","NR","NC","W","WX","Other","Data Freeze Date",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUS","Business","BUS","BUS-A","200","19","21","0","3.495","3.105","2","4","5","3","4","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUS","Business","BUS","BUS-A","201","76","99","76.9","3.055","3.306","4","17","13","8","10","6","6","4","1","1","2","1","3","0","0","0","0","2","0","21","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUS","Business","BUS","BUS-A","202","76","89","92.5","2.905","3.282","3","14","10","6","11","10","10","6","0","0","1","0","5","0","0","0","0","4","0","9","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUS","Business","BUS","BUS-A","303","39","48","100","3.646","3.44","0","21","9","4","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","9","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUS","Business","BUS","BUS-A","310","23","24","100","3.196","3.211","1","6","2","5","4","0","2","2","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUS","Business","BUS","BUS-A","311","27","29","88.9","3.478","3.375","3","7","3","7","5","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUS","Business","BUS","BUS-A","312","29","36","96.8","2.841","3.3","1","6","3","2","6","2","1","4","1","1","0","0","2","0","0","0","0","2","0","5","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUS","Business","BUS","BUS-A","325","27","29","92.6","2.978","3.409","0","2","5","4","5","4","3","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUS","Business","BUS","BUS-A","329","27","30","96.6","2.767","3.362","1","5","2","2","3","3","2","4","2","2","1","0","0","0","0","0","0","2","0","1","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUS","Business","BUS","BUS-A","337","13","13","100","3.485","3.309","0","3","4","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUS","Business","BUS","BUS-A","424","22","22","100","3.314","3.362","0","4","4","6","5","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUS","Business","BUS","BUS-A","440","9","12","100","3.7","3.302","2","4","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUS","Business","BUS","BUS-C","204","57","68","68.4","3.325","3.222","2","6","18","9","10","9","3","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","09-06-2019",
"IUBLA","Bloomington","4195","Summer 2019","BUS","Kelley School of Business","BL-BUS","Business","BUS","BUS-D","496","8","8","100","3.888","3.731","0","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-06-2019",
